Name,Date_of_Birth,Place_of_Birth,Date_of_Death,Place_of_Death,Name_of_Spouse,Date_of_Marriage,Date_of_Divorce,Number_of_Marriage,Number_of_Divorce,Number_of_Children,Marriages_End_in_Death,Date_of_Birth_Spouse,Place_of_Birth_Spouse,Date_of_Death_Spouse,Place_of_Death_Spouse,Number_of_Marriage_Spouse,Number_of_Divorce_Spouse,Number_of_Children_Spouse,First_Marriage,Sex,Age,Age_at_Marriage,Age_at_Divorce,Age_of_Spouse,Age_at_Marriage_Spouse,Age_at_Divorce_Spouse,Duration_of_Marriage,Age_Difference,Number_of_Roles,Profession,Spouse_is_Celebrity,Married,Divorced,Alive_or_Dead,Alive_or_Dead_Spouse,Latitude,Longitude,Latitude_Spouse,Longitude_Spouse,Distance
Almeda Abazi,1992-02-13,"Tirana, Albania",,,Tolgahan Sayışman ​,2017-01-01,,1.0,0.0,2.0,0.0,,,,,,,,0,F,31.0,25.0,,,,,6.0,,1,model,0,1,0,0,0,41.3275459,19.8186982,,,
Angela Martini,1986-05-23,"Shkodër, Albania",,,Dragoş Săvulescu ​,2017-01-01,,1.0,0.0,,0.0,,,,,,,,0,F,37.0,31.0,,,,,6.0,,1,model,0,1,0,0,0,42.0692985,19.5032559,,,
Natalia Anatolievna Shimanchuk,1973-03-10,"Tashkent, Uzbek SSR, USSR",,,Amir Ebrahim Pahlavi Alam​ ​,1998-01-01,2004-01-01,1.0,1.0,1.0,0.0,,,,,,,,0,F,50.0,25.0,31.0,,,,6.0,,2,"model, actor/actress",0,1,1,0,0,41.2994958,69.2400734,,,
Kim Marie Alexis,1960-07-15,"Lockport, New York, U.S.",,,Jim Stockton​ ​,1983-01-01,1992-01-01,3.0,2.0,3.0,0.0,,,,,,,,0,F,63.0,23.0,32.0,,,,9.0,,1,model,0,1,1,0,0,43.1706128,-78.6903098,,,
Kristian-Joy Alfonso,1963-09-05,"Brockton, Massachusetts, U.S.",,,Simon Macauley​ ​,1987-01-01,1991-01-01,2.0,2.0,3.0,0.0,,,,,,,,0,F,60.0,24.0,28.0,,,,4.0,,2,"model, actor/actress",0,1,1,0,0,42.0834335,-71.0183787,,,
Nicole Natalie Austin,1979-03-17,"Tarzana, California, U.S.",,,Mike Williams​ ​,1999-01-01,2001-01-01,2.0,1.0,1.0,0.0,,,,,,,,0,F,44.0,20.0,22.0,,,,2.0,,1,model,0,1,1,0,0,34.1494848,-118.5506158,,,
Cynthia Denise Bailey,1967-02-19,"Decatur, Alabama, U.S.",,,Peter Thomas​ ​,2010-01-01,2017-01-01,2.0,2.0,1.0,0.0,,,,,,,,0,F,56.0,43.0,50.0,,,,7.0,,1,model,0,1,1,0,0,34.6059253,-86.9833417,,,
Drew Blythe Barrymore,1975-02-22,"Culver City, California, U.S.",,,Jeremy Thomas​ ​,1994-01-01,1995-01-01,3.0,3.0,2.0,0.0,,,,,,,,0,F,48.0,19.0,20.0,,,,1.0,,3,"model, actor/actress, director",0,1,1,0,0,34.0211224,-118.3964665,,,
Susan Linda Bay,1943-03-16,"Los Angeles, California, U.S.",,,Conrad John Schuck Jr.,1978-01-01,1983-01-01,2.0,1.0,1.0,1.0,1940-02-04,"Boston, Massachusetts, U.S",,,2.0,1.0,1.0,1,F,80.0,35.0,40.0,83.0,38.0,43.0,5.0,3.0,2,"model, actor/actress",1,1,1,0,0,34.0549076,-118.242643,42.3600825,-71.0588801,4169.38522143283
Catherine Lisa Bell,1968-08-14,"London, England",,,Adam Beason​ ​,1994-01-01,2011-01-01,1.0,1.0,2.0,0.0,,,,,,,,0,F,55.0,26.0,43.0,,,,17.0,,2,"model, actor/actress",0,1,1,0,0,51.5072178,-0.1275862,,,
Elizabeth Berkley,,"Farmington Hills, Michigan, U.S.",,,Greg Lauren Dana Smith,2003-01-01,,1.0,0.0,1.0,0.0,1970-01-06,"New York City, U.S.",,,1.0,0.0,1.0,1,F,,,,53.0,33.0,,20.0,,3,"model, actor/actress, dancer",1,1,0,0,0,42.4989936,-83.3677168,40.7127753,-74.0059728,802.8387851996007
Maria Halle Berry,1966-08-14,"Cleveland, Ohio, U.S.",,,David Justice​ ​,1993-01-01,1997-01-01,3.0,3.0,2.0,0.0,,,,,,,,0,F,57.0,27.0,31.0,,,,4.0,,2,"model, actor/actress",0,1,1,0,0,41.49932,-81.6943605,,,
Susan Blakely,1948-09-07,"Frankfurt, Germany",,,Todd Merer​ ​,1969-01-01,1981-01-01,2.0,1.0,,0.0,,,,,,,,0,F,75.0,21.0,33.0,,,,12.0,,2,"model, actor/actress",0,1,1,0,0,50.1109221,8.6821267,,,
Rosa Blasi,1972-12-19,"Chicago, Illinois, U.S.",,,Jim Finn​ ​,2004-01-01,2008-01-01,2.0,1.0,2.0,0.0,,,,,,,,0,F,51.0,32.0,36.0,,,,4.0,,4,"model, actor/actress, dancer, singer",0,1,1,0,0,41.8781136,-87.6297982,,,
