,Number_of_Children,Number_of_Children_Spouse,Sex,Age,Age_at_Marriage,Age_of_Spouse,Age_at_Marriage_Spouse,Age_Difference,Number_of_Roles,Spouse_is_Celebrity,Distance,Divorced
0,2.0,,0,31.0,25.0,,,,1,0,,0
1,,,0,37.0,31.0,,,,1,0,,0
2,1.0,,0,50.0,25.0,,,,2,0,,1
3,3.0,,0,63.0,23.0,,,,1,0,,1
4,3.0,,0,60.0,24.0,,,,2,0,,1
5,1.0,,0,44.0,20.0,,,,1,0,,1
6,1.0,,0,56.0,43.0,,,,1,0,,1
7,2.0,,0,48.0,19.0,,,,3,0,,1
8,1.0,1.0,0,80.0,35.0,83.0,38.0,3.0,2,1,4169.38522143283,1
9,2.0,,0,55.0,26.0,,,,2,0,,1
10,1.0,1.0,0,,,53.0,33.0,,3,1,802.8387851996007,0
11,2.0,,0,57.0,27.0,,,,2,0,,1
12,,,0,75.0,21.0,,,,2,0,,1
13,2.0,,0,51.0,32.0,,,,4,0,,1
14,2.0,2.0,0,74.0,21.0,69.0,23.0,2.0,3,0,3215.253494619379,1
15,2.0,,0,72.0,29.0,,,,2,0,,1
16,2.0,,0,53.0,32.0,,,,2,0,,1
17,3.0,,0,69.0,19.0,,,,2,0,,1
18,2.0,,0,36.0,30.0,,,,1,0,,0
19,,,0,41.0,19.0,,,,1,0,,0
20,3.0,3.0,0,39.0,27.0,52.0,40.0,13.0,1,0,2619.0531203045634,0
21,,,0,78.0,21.0,,,,2,0,,1
22,2.0,,0,84.0,25.0,,,,1,0,,1
23,3.0,,0,38.0,31.0,,,,3,0,,0
24,2.0,,0,70.0,28.0,,,,2,0,,1
25,1.0,1.0,0,31.0,25.0,37.0,31.0,6.0,1,1,11485.52309781948,1
26,2.0,3.0,0,57.0,25.0,74.0,42.0,17.0,2,0,1160.7154078144192,1
27,4.0,2.0,0,52.0,26.0,73.0,21.0,5.0,1,0,,1
28,,,0,39.0,27.0,41.0,29.0,2.0,2,0,96.39322783400992,1
29,1.0,1.0,0,51.0,43.0,44.0,36.0,7.0,4,0,3664.963014990432,0
30,2.0,,0,68.0,22.0,,,,4,0,,1
31,3.0,3.0,0,38.0,31.0,44.0,37.0,6.0,1,0,85.553061503066,0
32,,,0,81.0,28.0,,,,3,0,,1
33,1.0,4.0,0,62.0,26.0,84.0,34.0,8.0,2,1,2056.0633543444537,1
34,3.0,5.0,0,55.0,29.0,77.0,51.0,22.0,1,1,3935.536977390735,0
35,1.0,,0,33.0,28.0,,,,1,0,,1
36,2.0,,0,32.0,26.0,,,,1,0,,0
37,1.0,1.0,0,76.0,43.0,76.0,43.0,0.0,2,0,795.0369178741907,0
38,3.0,,0,83.0,21.0,,,,2,0,,1
39,1.0,,0,100.0,31.0,,,,2,0,,1
40,3.0,,0,51.0,29.0,,,,2,0,,1
41,,3.0,0,71.0,23.0,85.0,37.0,14.0,1,0,9529.80084978308,1
42,,,0,42.0,21.0,,,,2,0,,1
43,,,0,65.0,36.0,,,,1,0,,0
44,,,0,48.0,41.0,,,,1,0,,1
45,1.0,3.0,0,57.0,18.0,60.0,21.0,3.0,4,0,363.9080947737118,1
46,1.0,1.0,0,38.0,34.0,39.0,35.0,1.0,2,0,,0
47,3.0,,0,54.0,24.0,,,,2,0,,1
48,,3.0,0,60.0,29.0,51.0,20.0,9.0,2,0,8612.32996339728,1
49,4.0,,0,33.0,26.0,,,,1,0,,0
50,1.0,,0,35.0,31.0,,,,2,0,,0
51,,,0,31.0,23.0,,,,1,0,,1
52,,,0,,,,,,1,0,,0
53,2.0,2.0,0,31.0,26.0,38.0,33.0,7.0,1,0,1115.943714789614,0
54,4.0,,0,50.0,24.0,,,,2,0,,1
55,,,0,35.0,31.0,35.0,31.0,0.0,2,0,3935.536977390735,1
56,3.0,3.0,0,43.0,31.0,50.0,38.0,7.0,2,1,13714.19806143381,0
57,1.0,,0,57.0,26.0,,,,2,0,,1
58,,,0,77.0,49.0,,,,1,0,,0
59,,,0,88.0,41.0,,,,3,0,,0
60,2.0,,0,44.0,23.0,,,,2,0,,1
61,,7.0,0,73.0,28.0,90.0,41.0,13.0,2,0,1144.293950028263,1
62,1.0,1.0,0,45.0,32.0,49.0,36.0,4.0,1,1,9624.220629419618,0
63,,,0,74.0,23.0,,,,3,0,,0
64,1.0,,0,44.0,29.0,49.0,34.0,5.0,2,0,556.4154986789964,1
65,1.0,2.0,0,48.0,27.0,51.0,30.0,3.0,2,0,1745.1952790204891,1
66,,,0,,,,,,2,0,,0
67,2.0,,0,62.0,23.0,,,,2,0,,1
68,1.0,,0,34.0,31.0,,,,2,0,,0
69,,,0,37.0,24.0,,,,3,0,,0
70,1.0,,0,64.0,33.0,,,,2,0,2449.72052759998,0
71,1.0,,0,77.0,18.0,,,,2,0,,1
72,2.0,,0,56.0,24.0,61.0,29.0,5.0,1,0,5570.242530860794,1
73,1.0,,0,84.0,21.0,,,,2,0,,1
74,2.0,3.0,0,87.0,28.0,88.0,27.0,1.0,1,0,,1
75,,,0,73.0,32.0,,,,2,0,1915.317398223672,1
76,2.0,3.0,0,45.0,20.0,83.0,28.0,8.0,3,0,,1
77,2.0,,0,45.0,40.0,,,,2,0,,0
78,3.0,,0,39.0,34.0,,,,1,0,,1
79,,1.0,0,29.0,28.0,51.0,50.0,22.0,1,1,369.9121705553176,0
80,4.0,4.0,0,45.0,27.0,48.0,30.0,3.0,1,0,,0
81,,,0,50.0,24.0,,,,1,0,,1
82,3.0,2.0,0,46.0,33.0,79.0,40.0,7.0,1,0,2803.7479217041505,1
83,1.0,,0,37.0,25.0,,,,1,0,,1
84,4.0,3.0,0,59.0,33.0,59.0,33.0,0.0,2,0,5651.581610123715,1
85,2.0,,0,80.0,22.0,,,,2,0,,1
86,2.0,,0,77.0,20.0,,,,3,0,,1
87,3.0,3.0,0,59.0,35.0,55.0,31.0,4.0,2,0,,0
88,,,0,90.0,21.0,,,,2,0,,0
89,1.0,1.0,0,,,64.0,31.0,,2,1,,1
90,1.0,,0,39.0,26.0,,,,1,0,,0
91,2.0,,0,,,,,,4,0,,0
92,1.0,,0,52.0,44.0,,,,2,0,,0
93,,,0,26.0,22.0,,,,2,0,,0
94,,,0,47.0,29.0,,,,2,0,,1
95,2.0,2.0,0,87.0,27.0,86.0,32.0,5.0,2,0,2606.576912553648,1
96,1.0,1.0,0,83.0,21.0,76.0,34.0,13.0,1,0,29.93231351680301,1
97,,3.0,0,,,,,,2,0,4271.807213020029,1
98,1.0,6.0,0,,,80.0,44.0,,2,1,15071.861432078778,1
99,,,0,82.0,28.0,,,,4,0,,0
100,,,0,46.0,29.0,,,,3,0,,1
101,,,0,37.0,33.0,50.0,42.0,9.0,3,1,556.869454176815,0
102,,4.0,0,90.0,32.0,88.0,38.0,6.0,2,0,6387.023246611488,1
