Name,Date_of_Birth,Place_of_Birth,Date_of_Death,Place_of_Death,Name_of_Spouse,Date_of_Marriage,Date_of_Divorce,Number_of_Marriage,Number_of_Divorce,Number_of_Children,Marriages_End_in_Death,Date_of_Birth_Spouse,Place_of_Birth_Spouse,Date_of_Death_Spouse,Place_of_Death_Spouse,Number_of_Marriage_Spouse,Number_of_Divorce_Spouse,Number_of_Children_Spouse,Name_of_Spouse_Spouse,Sex,Profession
List of Afghan women journalists,,,,,,,,,,,,,,,,,,,,F,journalist
Shakaiba Sanga Amaj,,,,,,,,,,,,,,,,,,,,F,journalist
Asma Rasmya,,,,,,,,,,,,,,,,,,,,F,journalist
Najiba Ayubi,,Afghanistan,,,,,,,,,,,,,,,,,,F,journalist
Zohra Daoud,,,,,,,,,,,,,,,,,,,,F,journalist
Maryam Durani,,,,,,,,,,,,,,,,,,,,F,journalist
Wahida Faizi,1994-05-17,"Kabul, Islamic State of Afghanistan",,,Tawfiq Waqef ​,2021-01-01,,1.0,0.0,,0.0,,,,,,,,,F,journalist
Farahnaz Forotan,1992-01-01,"Kabul, Afghanistan",,,,,,,,,,,,,,,,,,F,journalist
Basira Joya,1999-01-01,"Takhar Province, Afghanistan",,,,,,,,,,,,,,,,,,F,journalist
Saeeda Mahmood,,Afghanistan,,,,,,,,,,,,,,,,,,F,journalist
Mina Mangal,,,,,,,,,,,,,,,,,,,,F,journalist
Horia Mosadiq,,,,,,,,,,,,,,,,,,,,F,journalist
Fariba Nawa,1973-01-01,"Herat, Afghanistan",,,,,,,,,,,,,,,,,,F,journalist
Farida Nekzad,,,,,,,,,,,,,,,,,,,,F,journalist
Fatima Rahimi,,,,,,,,,,,,,,,,,,,,F,journalist
Anisa Shaheed,,,,,,,,,,,,,,,,,,,,F,journalist
Zakia Zaki,1972-01-01,Afghanistan,2007-06-04,"Jabal Saraj, Jabal Saraj District, Parwan, Afghanistan",Abdul Ahad Ranjabr,,,1.0,,Zaki and her husband Abdul had six children together.,,,,,,,,,,F,journalist
Valdete Antoni,,,,,,,,,,,,,,,,,,,,F,journalist
Diana Çuli,,,,,,,,,,,,,,,,,,,,F,journalist
Vera Isaku,1955-01-01,,,,Agim Isaku,,,1.0,,,,,,,,,,,,F,journalist
Irma Kurti,,,,,,,,,,,,,,,,,,,,F,journalist
Ludmilla Pajo,,,,,,,,,,,,,,,,,,,,F,journalist
Marigo Poçi,1882-02-02,"Korçë, Ottoman Empire",1932-02-23,"Vlorë, Albania",Jovan Posio,,,1.0,,,,,,,,,,,,F,journalist
Iliriana Sulkuqi,,,,,,,,,,,,,,,,,,,,F,journalist
Eni Vasili,,"Tirana, Albania",,,,,,,,,,,,,,,,,,F,journalist
Arbana Xharra,,,,,,,,,,,,,,,,,,,,F,journalist
Nassira Belloula,,,,,,,,,,,,,,,,,,,,F,journalist
Khadija Benguenna,,,,,,,,,,,,,,,,,,,,F,journalist
Djamila Debèche,,,,,,,,,,,,,,,,,,,,F,journalist
Salima Ghezali,1958-01-01,"Bouïra, French Algeria",,,,,,,,,,,,,,,,,,F,journalist
Baya El Hachemi,1966-01-01,"Algiers, Algeria",,,,,,,,,,,,,,,,,,F,journalist
Mimi Hafida,1965-08-26,"Batna, Algeria",,,,,,,,,,,,,,,,,,F,journalist
Aïcha Lemsine,,,,,,,,,,,,,,,,,,,,F,journalist
Leïla Marouane,,,,,,,,,,,,,,,,,,,,F,journalist
Elaine Klein,1928-01-01,"Hempstead, New York",,,Mokhtar Mokhtefi,,,1.0,,,,,,,,,,,,F,journalist
Nabila Ramdani,,France,,,,,,,,,,,,,,,,,,F,journalist
National Federation of Press Women,,,,,,,,,,,,,,,,,,,,F,journalist
American News Women's Club,,,,,,,,,,,,,,,,,,,,F,journalist
Hispanic and Latino American women in journalism,,,,,,,,,,,,,,,,,,,,F,journalist
Deena Aljuhani Abdulaziz,,,,,,,,,,,,,,,,,,,,F,journalist
Martha Ackmann,,,,,,,,,,,,,,,,,,,,F,journalist
Margarita Alcantara,,,,,,,,,,,,,,,,,,,,F,journalist
Kathleen Alcott,1988-10-17,,,,,,,,,,,,,,,,,,,F,journalist
Cynthia May Westover,1862-05-31,"Afton, Iowa",1931-01-08,"Brooklyn, New York (home)",John B. Alden ​,1896-01-01,,1.0,0.0,,0.0,,,,,,,,,F,journalist
Dorothy Keeley,1896-03-13,"Chicago, Illinois, United States",1966-07-04,"Lake Forest, Illinois, United States",Graham Aldis ​,1922-01-01,,1.0,0.0,"1 son, 3 daughters",0.0,,,,,,,,,F,journalist
Mildred Aldrich,,,,,,,,,,,,,,,,,,,,F,journalist
Jacqueline Michele Alemany,1989-02-24,"Scarsdale, New York, US",,,,,,,,,,,,,,,,,,F,journalist
Dolores Alexander,1931-08-10,"Newark, New Jersey, United States",2008-05-13,"Palm Harbor, Florida, United States",,,,,,,,,,,,,,,,F,journalist
Matilda Greathouse Alexander,1842-06-14,Mount Vernon ,1904-09-28,,,,,,,,,,,,,,,,,F,journalist
Kristin Kuhns Alexandre,,,,,,,,,,,,,,,,,,,,F,journalist
Maytha Alhassen,,,,,,,,,,,,,,,,,,,,F,journalist
Jodie Allen,,United States,,,,,,,,,,,,,,,,,,F,journalist
María Consolación Álvarez González,1957-01-01,"Logroño, Spain",,,,,,,,,,,,,,,,,,F,journalist
Carmen M. Amedori,,,,,,,,,,,,,,,,,,,,F,journalist
