Name,Date_of_Birth,Place_of_Birth,Date_of_Death,Place_of_Death,Name_of_Spouse,Date_of_Marriage,Date_of_Divorce,Number_of_Marriage,Number_of_Divorce,Number_of_Children,Marriages_End_in_Death,Date_of_Birth_Spouse,Place_of_Birth_Spouse,Date_of_Death_Spouse,Place_of_Death_Spouse,Number_of_Marriage_Spouse,Number_of_Divorce_Spouse,Number_of_Children_Spouse,Name_of_Spouse_Spouse,Sex,Profession
Soraya Alekozei,,,,,,,,,,,,,,,,,,,,F,musician
Najwa Alimi,,,,,,,,,,,,,,,,,,,,F,musician
Shakaiba Sanga Amaj,,,,,,,,,,,,,,,,,,,,F,musician
Nadia Anjuman,1981-12-27,"Herat, Afghanistan",2005-11-04,"Herat, Afghanistan",,,,,,,,,,,,,,,,F,musician
Najiba Ayubi,,Afghanistan,,,,,,,,,,,,,,,,,,F,musician
Fevziye Rahgozar Barlas,,,,,,,,,,,,,,,,,,,,F,musician
Maryam Durani,,,,,,,,,,,,,,,,,,,,F,musician
Zohre Esmaeli,1985-07-01,"Kabul, Afghanistan",,,,,,,,,,,,,,,,,,F,musician
Wahida Faizi,1994-05-17,"Kabul, Islamic State of Afghanistan",,,Tawfiq Waqef ​,2021-01-01,,1.0,0.0,,0.0,,,,,,,,,F,musician
Chékéba Hachemi,,,,,,,,,,,,,,,,,,,,F,musician
Rangina Hamidi,,,,,,,,,,,,,,,,,,,,F,musician
Malalai Joya,,,,,,,,,,,,,,,,,,,,F,musician
Maryam Mahboob,1955-01-01,"Maimana, Afghanistan[1]",,,,,,,,,,,,,,,,,,F,musician
Saeeda Mahmood,,Afghanistan,,,,,,,,,,,,,,,,,,F,musician
Mirman Baheer,,,,,,,,,,,,,,,,,,,,F,musician
Horia Mosadiq,,,,,,,,,,,,,,,,,,,,F,musician
Fariba Nawa,1973-01-01,"Herat, Afghanistan",,,,,,,,,,,,,,,,,,F,musician
Pashtana Durrani,,,,,,,,,,,,,,,,,,,,F,musician
Homeira Qaderi,,,,,,,,,,,,,,,,,,,,F,musician
Fatima Rahimi,,,,,,,,,,,,,,,,,,,,F,musician
Layla Sarahat Rushani,,,,,,,,,,,,,,,,,,,,F,musician
Shaista Wahab,,,,,,,,,,,,,,,,,,,,F,musician
Sakena Yacoobi,,"Herat, Kingdom of Afghanistan",,,,,,,,,,,,,,,,,,F,musician
Elham Yaghoubian,,,,,,,,,,,,,,,,,,,,F,musician
Gaisu Yari,,,,,,,,,,,,,,,,,,,,F,musician
Zakia Zaki,1972-01-01,Afghanistan,2007-06-04,"Jabal Saraj, Jabal Saraj District, Parwan, Afghanistan",Abdul Ahad Ranjabr,,,1.0,,Zaki and her husband Abdul had six children together.,,,,,,,,,,F,musician
Spôjmaï Zariâb,,,,,,,,,,,,,,,,,,,,F,musician
Maliha Zulfacar,,,,,,,,,,,,,,,,,,,,F,musician
Rreze Abdullahu,1990-04-10,"Ferizaj, Kosovo",,,,,,,,,,,,,,,,,,F,musician
Valdete Antoni,,,,,,,,,,,,,,,,,,,,F,musician
Lindita Arapi,,,,,,,,,,,,,,,,,,,,F,musician
Diana Çuli,,,,,,,,,,,,,,,,,,,,F,musician
Anilda Ibrahimi,,,,,,,,,,,,,,,,,,,,F,musician
Helena Kadare,,,,,,,,,,,,,,,,,,,,F,musician
Mirela Kumbaro,,,,,,,,,,,,,,,,,,,,F,musician
Irma Kurti,,,,,,,,,,,,,,,,,,,,F,musician
Natasha Lako,1948-05-13,,,,Mevlan Shanaj,,,1.0,,2,,,,,,,,,,F,musician
Luljeta Lleshanaku,,,,,,,,,,,,,,,,,,,,F,musician
Masiela Lusha,1985-10-23,"Tirana, Albania",,,Ramzi Habibi ​,2013-01-01,,1.0,0.0,2,0.0,,,,,,,,,F,musician
Iliriana Sulkuqi,,,,,,,,,,,,,,,,,,,,F,musician
Eni Vasili,,"Tirana, Albania",,,,,,,,,,,,,,,,,,F,musician
Ornela Vorpsi,1968-08-03,"Tirana, Albania",,,,,,,,,,,,,,,,,,F,musician
Anila Wilms,,,,,,,,,,,,,,,,,,,,F,musician
Arbana Xharra,,,,,,,,,,,,,,,,,,,,F,musician
Lea Ypi,1979-09-08,"Tirana, Albania",,,,,,,,,,,,,,,,,,F,musician
Nora Aceval,,,,,,,,,,,,,,,,,,,,F,musician
Nassira Belloula,,,,,,,,,,,,,,,,,,,,F,musician
Maïssa Bey,,,,,,,,,,,,,,,,,,,,F,musician
Lynda Chouiten,,,,,,,,,,,,,,,,,,,,F,musician
Assia Djebar,,,,,,,,,,,,,,,,,,,,F,musician
