Name,Date_of_Birth,Place_of_Birth,Date_of_Death,Place_of_Death,Name_of_Spouse,Date_of_Marriage,Date_of_Divorce,Number_of_Marriage,Number_of_Divorce,Number_of_Children,Marriages_End_in_Death,Date_of_Birth_Spouse,Place_of_Birth_Spouse,Date_of_Death_Spouse,Place_of_Death_Spouse,Number_of_Marriage_Spouse,Number_of_Divorce_Spouse,Number_of_Children_Spouse,Name_of_Spouse_Spouse,Sex,Profession
Mimoza Veliu,,,,,,,,,,,,,,,,,,,,F,director
Ornela Vorpsi,1968-08-03,"Tirana, Albania",,,,,,,,,,,,,,,,,,F,director
List of American women photographers,,,,,,,,,,,,,,,,,,,,F,director
Adrienne Keahi Pao,1975-01-01,"Oakland, California, U.S.",,,,,,,,,,,,,,,,,,F,director
Marella Agnelli,,,,,,,,,,,,,,,,,,,,F,director
Mary Lenore Jobe,1878-01-29,"Harrison County, Ohio, U.S.",1966-01-19,"Mystic, Connecticut, U.S.",Carl Akeley​ ​,1924-01-01,1926-01-01,1.0,1.0,,0.0,1864-05-19,"Clarendon, New York, US",1926-11-17,"Mt. Mikeno, Belgian Congo",2.0,1.0,,Delia Akeley​ ​,F,director
M.J. Alexander,1961-07-18,"Sault Ste. Marie, Michigan, U.S.",,,,,,,,,,,,,,,,,,F,director
Frances Stebbins Allen,1854-08-10,"Deerfield, Massachusetts, US",1941-02-14,,,,,,,,,,,,,,,,,F,director
Mariette Pathy Allen,1940-01-01,,,,,,,,,,,,,,,,,,,F,director
Mary Electa Allen,1858-05-14,"Deerfield, Massachusetts",1941-02-18,,,,,,,,,,,,,,,,,F,director
Winifred Hall Allen,,,,,,,,,,,,,,,,,,,,F,director
Natalia Almada,,"Sinaloa, Mexico",,,,,,,,,,,,,,,,,,F,director
Lili Almog,1961-01-01,"Tel Aviv, Israel",,,,,,,,,,,,,,,,,,F,director
Joan Harwood,1935-01-01,"Los Angeles, California",2021-08-21,,"George Elkins, Jr.  ​ ​",1954-01-01,1969-01-01,2.0,2.0,,0.0,,,,,,,,,F,director
Nina Alovert,1935-01-01,"Leningrad, Russia",,,,,,,,,,,,,,,,,,F,director
Merry Alpern,,,,,,,,,,,,,,,,,,,,F,director
Jacqueline Sue Alpers,1968-04-01,"Columbus, Ohio, U.S.",,,,,,,,,,,,,,,,,,F,director
سما الشيبي,1973-01-01,"Basra, Iraq",,,,,,,,,,,,,,,,,,F,director
Tasneem Alsultan,1985-10-10,"Tucson, Arizona, U.S.",,,,,,,,,,,,,,,,,,F,director
Jane Fulton Alt,,,,,,,,,,,,,,,,,,,,F,director
Linda Alterwitz,1960-01-01,"Gary, Indiana, US",,,,,,,,,,,,,,,,,,F,director
Lesa Amoore,,"San Diego, California,  U.S.A.",,,,,,,,,,,,,,,,,,F,director
Nancy Lee Andrews,,,,,,,,,,,,,,,,,,,,F,director
Kate Adele Aplington,1859-03-01,,1928-09-26,Miami ,,,,,,,,,,,,,,,,F,director
Laura Adams Armer,,,,,,,,,,,,,,,,,,,,F,director
Kristen Ashburn,,,,,,,,,,,,,,,,,,,,F,director
Jane Evelyn Atwood,1947-12-15,"New York City, New York",,,,,,,,,,,,,,,,,,F,director
Elizabeth Alice Munn,1866-03-17,"Rosebank, New York",1952-06-09,Staten Island,,,,,,,,,,,,,,,,F,director
Elizabeth Axtman,1980-06-04,"Andrews Air Force Base, Maryland",,,,,,,,,,,,,,,,,,F,director
Halla Ayla,1957-01-01,"Baghdad, Iraq",,,,,,,,,,,,,,,,,,F,director
Behnaz Babazadeh,,,,,,,,,,,,,,,,,,,,F,director
Sunny Bak,,,,,,,,,,,,,,,,,,,,F,director
Susan Ford Bales,,,,,,,,,,,,,,,,,,,,F,director
Marion Winchester McCall,,"Pittsburgh, Pennsylvania",,,,,,,,,,,,,,,,,,F,director
Lillian Bassman,1917-06-15,"Brooklyn, New York, U.S.",2012-02-13,"Manhattan, New York, U.S.",,,,,,,,,,,,,,,,F,director
Michelle Bates,,,,,,,,,,,,,,,,,,,,F,director
Peggy Bauer,,,,,,,,,,,,,,,,,,,,F,director
Roberta Bayley,,,,,,,,,,,,,,,,,,,,F,director
Carol Beckwith,1945-07-10,"Boston, Massachusetts, US",,,,,,,,,,,,,,,,,,F,director
Sadie Benning,,,,,,,,,,,,,,,,,,,,F,director
Lynne Bentley-Kemp,,,,,,,,,,,,,,,,,,,,F,director
Berinthia Berenson,1948-04-14,"New York City, U.S.",2001-09-11,"New York City, U.S.",Anthony Perkins​ ​,1973-01-01,,1.0,0.0,Oz PerkinsElvis Perkins,1.0,1932-04-04,"New York City, U.S.",1992-09-12,"Los Angeles, California, U.S.",1.0,0.0,Oz PerkinsElvis Perkins,Berry Berenson ​,F,director
Nina Berman,1960-01-01,"NYC, U.S.",,,,,,,,,,,,,,,,,,F,director
Beryl Bernay,,,,,,,,,,,,,,,,,,,,F,director
Lina Bertucci,,,,,,,,,,,,,,,,,,,,F,director
Edyth Carter Beveridge,1862-01-01,,1927-08-29,,,,,,,,,,,,,,,,,F,director
Ania Bien,,,,,,,,,,,,,,,,,,,,F,director
Lou Goodale Bigelow,1884-11-24,"St. Joseph, Missouri, United States",1968-07-31,"San Diego, California, United States",,,,,,,,,,,,,,,,F,director
Cass Bird,1974-01-01,"Los Angeles, California, U.S.",,,Ali Bird,,,1.0,,2,,,,,,,,,,F,director
Jeanne Birdsall,,,,,,,,,,,,,,,,,,,,F,director
Joan E. Biren,1944-07-13,"Washington, DC, United States",,,,,,,,,,,,,,,,,,F,director
Jennifer Bishop ,1957-05-01,"Cleveland, Ohio, USA[1]",,,,,,,,,,,,,,,,,,F,director
Black Female Photographers,,,,,,,,,,,,,,,,,,,,F,director
Star Black,,,,,,,,,,,,,,,,,,,,F,director
Carolyn Gail Marks,1951-08-21,"Anchorage, Alaska, United States",,,Greg Henry Quinn,,,1.0,,Gabriel Marks-Mulcahy,,,,,,,,,,F,director
