Name,Date_of_Birth,Place_of_Birth,Date_of_Death,Place_of_Death,Name_of_Spouse,Date_of_Marriage,Date_of_Divorce,Number_of_Marriage,Number_of_Divorce,Number_of_Children,Marriages_End_in_Death,Date_of_Birth_Spouse,Place_of_Birth_Spouse,Date_of_Death_Spouse,Place_of_Death_Spouse,Number_of_Marriage_Spouse,Number_of_Divorce_Spouse,Number_of_Children_Spouse,Name_of_Spouse_Spouse,Sex,Profession
Berthe Bénichou-Aboulker,,,,,,,,,,,,,,,,,,,,F,playwrights
Fatima Bourega,1944-08-07,"El Harrouch, French Algeria",2020-09-15,"Paris, France",,,,,,,,,,,,,,,,F,playwrights
Colet Abedi,,,,,,,,,,,,,,,,,,,,F,playwrights
Liz Duffy Adams,,,,,,,,,,,,,,,,,,,,F,playwrights
Max D. Adams,,,,,,,,,,,,,,,,,,,,F,playwrights
Chimamanda Ngozi Adichie,,,,,,,,,,,,,,,,,,,,F,playwrights
Gerty Agoston,,,,,,,,,,,,,,,,,,,,F,playwrights
Ednah Robinson Aiken,,,,,,,,,,,,,,,,,,,,F,playwrights
Ulrika Akerstrom,1870-03-17,New York City,1941-08-10,"Willsboro, New York",Gus Bernard ​ ​,1899-01-01,,2.0,0.0,,1.0,,,,,,,,,F,playwrights
Zoe Akins,,,,,,,,,,,,,,,,,,,,F,playwrights
Katherine Albert,1902-10-06,"Louisville, Kentucky, U.S.",1970-07-26,"Santa Monica, California, U.S.",Dale Eunson,,,1.0,,Joan Evans,,,,,,,,,,F,playwrights
Eileen Albrizio,,,,,,,,,,,,,,,,,,,,F,playwrights
Mary Aldis ,1872-06-08,Chicago,1949-06-20,,,,,,,,,,,,,,,,,F,playwrights
Elizabeth Alexander ,,,,,,,,,,,,,,,,,,,,F,playwrights
Lucy Harrison,1983-01-01,"Florida, U.S.",,,,,,,,,,,,,,,,,,F,playwrights
Janet Allard,,,,,,,,,,,,,,,,,,,,F,playwrights
Claudia Allen,1954-10-02,,,,,,,,,,,,,,,,,,,F,playwrights
