Name,Date_of_Birth,Place_of_Birth,Date_of_Death,Place_of_Death,Name_of_Spouse,Date_of_Marriage,Date_of_Divorce,Number_of_Marriage,Number_of_Divorce,Number_of_Children,Marriages_End_in_Death,Date_of_Birth_Spouse,Place_of_Birth_Spouse,Date_of_Death_Spouse,Place_of_Death_Spouse,Number_of_Marriage_Spouse,Number_of_Divorce_Spouse,Number_of_Children_Spouse,Name_of_Spouse_Spouse,Sex,Profession
Mojgan Azimi,1991-08-21,"Kerman, Iran",,,,,,,,,,,,,,,,,,F,singer
Ghezaal Enayat,1975-01-01,"Kabul, Afghanistan",,,,,,,,,,,,,,,,,,F,singer
Soosan Firooz,,,,,,,,,,,,,,,,,,,,F,singer
Qamar Gula,,,,,,,,,,,,,,,,,,,,F,singer
Hangama,,,,,,,,,,,,,,,,,,,,F,singer
Khoshi Mahtab,,,,,,,,,,,,,,,,,,,,F,singer
Mahwash,,,,,,,,,,,,,,,,,,,,F,singer
Naghma,,,,,,,,,,,,,,,,,,,,F,singer
Farzana Naz,1991-04-24,"Puli Khumri, Baghlan Province, Afghanistan",,,,,,,,,,,,,,,,,,F,singer
Parasto,,,,,,,,,,,,,,,,,,,,F,singer
Seeta Qasemi,1979-01-01,"Kabul or Sheberghan, Afghanistan",,,,,,,,,,,,,,,,,,F,singer
Aryana Sayeed,1985-01-01,"Kabul, Afghanistan",,,,,,,,,,,,,,,,,,F,singer
Elaha Soroor,,,,,,,,,,,,,,,,,,,,F,singer
Seema Tarana,,,,,,,,,,,,,,,,,,,,F,singer
Melinda Ademi,1995-11-19,"Mitrovica, Republic of Kosovo",,,,,,,,,,,,,,,,,,F,singer
Arilena Ara,1998-07-17,"Shkodër, Albania",,,,,,,,,,,,,,,,,,F,singer
Aida Baraku,1966-06-10,"Pristina, Yugoslavia",,,,,,,,,,,,,,,,,,F,singer
Besa ,,,,,,,,,,,,,,,,,,,,F,singer
Bleona,1979-05-14,"Korçë, Albania",,,,,,,,,,,,,,,,,,F,singer
Olta Boka,,,,,,,,,,,,,,,,,,,,F,singer
Miriam Cani,1985-05-30,"Elbasan, People's Socialist Republic, present Albania",,,Alban Skënderaj ​,2019-01-01,,1.0,0.0,2,0.0,,,,,,,,,F,singer
Ledina Çelo,,,,,,,,,,,,,,,,,,,,F,singer
Çiljeta,,,,,,,,,,,,,,,,,,,,F,singer
Elhaida Dani,1993-02-17,"Shkodër, Albania",,,,,,,,,,,,,,,,,,F,singer
Dhurata Murturi,1992-12-24,"Nuremberg, Germany",,,,,,,,,,,,,,,,,,F,singer
Afërdita Dreshaj,1986-07-19,"Titograd, SR Montenegro, SFR Yugoslavia",,,,,,,,,,,,,,,,,,F,singer
Elina Duni,,,,,,,,,,,,,,,,,,,,F,singer
"Elia, Princess of Albania",,,,,,,,,,,,,,,,,,,,F,singer
Emmy ,,,,,,,,,,,,,,,,,,,,F,singer
Enca ,,,,,,,,,,,,,,,,,,,,F,singer
Eli Fara,1967-05-21,"Korçë, Albania",,,,,,,,,,,,,,,,,,F,singer
Filloreta Raçi,1994-03-31,"Herten, Germany",,,,,,,,,,,,,,,,,,F,singer
Entela Fureraj,1987-03-07,"Fier, Albania",,,,,,,,1,,,,,,,,,,F,singer
Aurela Gaçe,,,,,,,,,,,,,,,,,,,,F,singer
Elvana Gjata,1987-02-03,"Tirana, Albania",,,,,,,,,,,,,,,,,,F,singer
Anna Gjebrea,,,,,,,,,,,,,,,,,,,,F,singer
Ingrid Gjoni,,,,,,,,,,,,,,,,,,,,F,singer
Rosela Gjylbegu,,,,,,,,,,,,,,,,,,,,F,singer
Anxhelina Hadërgjonaj,1993-12-02,"Los Angeles, California, United States",,,,,,,,,,,,,,,,,,F,singer
Ronela Hajati,1989-09-02,"Tirana, People's Socialist Republic of Albania",,,,,,,,,,,,,,,,,,F,singer
Genta Ismajli,,,,,,,,,,,,,,,,,,,,F,singer
Era Istrefi,1994-07-04,"Pristina, FR Yugoslavia(present-day Kosovo)",,,,,,,,,,,,,,,,,,F,singer
Nora Istrefi,1986-03-25,"Pristina, SFR Yugoslavia(now Kosovo)",,,Robert Berisha​ ​,2014-01-01,2019-01-01,1.0,1.0,1,0.0,,,,,,,,,F,singer
Leonora Jakupi,,,,,,,,,,,,,,,,,,,,F,singer
Kanita,,,,,,,,,,,,,,,,,,,,F,singer
Samanta Karavella,1990-07-09,[Tirana Albainia,,,,,,,,,,,,,,,,,,F,singer
Kida ,1997-12-21,"Rahovec, FR Yugoslavia (now Kosovo)",,,,,,,,,,,,,,,,,,F,singer
Eni Koçi,,,,,,,,,,,,,,,,,,,,F,singer
Flaka Krelani,,,,,,,,,,,,,,,,,,,,F,singer
Yllka Kuqi,,,,,,,,,,,,,,,,,,,,F,singer
Irma Libohova,,,,,,,,,,,,,,,,,,,,F,singer
Elsa Lila,1981-07-04,"Tirana, Albania",,,,,,,,1,,,,,,,,,,F,singer
Lindita ,,,,,,,,,,,,,,,,,,,,F,singer
Dua Lipa,1995-08-22,"London, England",,,,,,,,,,,,,,,,,,F,singer
Vesa Luma,,,,,,,,,,,,,,,,,,,,F,singer
Venera Lumani,,,,,,,,,,,,,,,,,,,,F,singer
Sonja Malaj,1981-10-22,"Tropojë, Albania",,,,,,,,,,,,,,,,,,F,singer
Jonida Maliqi,1983-03-26,"Tirana, Albania",,,,,,,,,,,,,,,,,,F,singer
Oriola Marashi,1996-03-18,"Tirana, Albania",,,,,,,,,,,,,,,,,,F,singer
Hersi Matmuja,,,,,,,,,,,,,,,,,,,,F,singer
Xhensila Myrtezaj,1993-04-09,"Tirana, Albania",,,Besart Kallaku,2017-01-01,,1.0,0.0,1,0.0,1985-11-20,"Bubq, Fushë Krujë Albania",,,1.0,0.0,,Xhensila Myrtezaj ​,F,singer
Laura Nezha,1990-09-16,"Fier, Albania",,,,,,,,,,,,,,,,,,F,singer
Inis Neziri,,,,,,,,,,,,,,,,,,,,F,singer
Rona Nishliu,,,,,,,,,,,,,,,,,,,,F,singer
Juliana Pasha,,,,,,,,,,,,,,,,,,,,F,singer
Anxhela Peristeri,1986-03-24,"Korçë, Albania",,,,,,,,,,,,,,,,,,F,singer
Rozana Radi,1979-07-06,"Tirana, Albania",,,,,,,,,,,,,,,,,,F,singer
Rina Balaj,1999-01-27,"Peja, FR Yugoslavia",,,,,,,,,,,,,,,,,,F,singer
Anjeza Shahini,,,,,,,,,,,,,,,,,,,,F,singer
Rezarta Smaja,,,,,,,,,,,,,,,,,,,,F,singer
Rovena Stefa,,,,,,,,,,,,,,,,,,,,F,singer
