Name,Date_of_Birth,Place_of_Birth,Date_of_Death,Place_of_Death,Name_of_Spouse,Date_of_Marriage,Date_of_Divorce,Number_of_Marriage,Number_of_Divorce,Number_of_Children,Marriages_End_in_Death,Date_of_Birth_Spouse,Place_of_Birth_Spouse,Date_of_Death_Spouse,Place_of_Death_Spouse,Number_of_Marriage_Spouse,Number_of_Divorce_Spouse,Number_of_Children_Spouse,Name_of_Spouse_Spouse,Sex,Profession
Soraya Alekozei,,,,,,,,,,,,,,,,,,,,F,writers
Najwa Alimi,,,,,,,,,,,,,,,,,,,,F,writers
Shakaiba Sanga Amaj,,,,,,,,,,,,,,,,,,,,F,writers
Nadia Anjuman,1981-12-27,"Herat, Afghanistan",2005-11-04,"Herat, Afghanistan",,,,,,,,,,,,,,,,F,writers
Najiba Ayubi,,Afghanistan,,,,,,,,,,,,,,,,,,F,writers
Fevziye Rahgozar Barlas,,,,,,,,,,,,,,,,,,,,F,writers
Maryam Durani,,,,,,,,,,,,,,,,,,,,F,writers
Zohre Esmaeli,1985-07-01,"Kabul, Afghanistan",,,,,,,,,,,,,,,,,,F,writers
Wahida Faizi,1994-05-17,"Kabul, Islamic State of Afghanistan",,,Tawfiq Waqef ​,2021-01-01,,1.0,0.0,,0.0,,,,,,,,,F,writers
Chékéba Hachemi,,,,,,,,,,,,,,,,,,,,F,writers
Rangina Hamidi,,,,,,,,,,,,,,,,,,,,F,writers
Malalai Joya,,,,,,,,,,,,,,,,,,,,F,writers
Maryam Mahboob,1955-01-01,"Maimana, Afghanistan[1]",,,,,,,,,,,,,,,,,,F,writers
Saeeda Mahmood,,Afghanistan,,,,,,,,,,,,,,,,,,F,writers
Mirman Baheer,,,,,,,,,,,,,,,,,,,,F,writers
Horia Mosadiq,,,,,,,,,,,,,,,,,,,,F,writers
Fariba Nawa,1973-01-01,"Herat, Afghanistan",,,,,,,,,,,,,,,,,,F,writers
Pashtana Durrani,,,,,,,,,,,,,,,,,,,,F,writers
Homeira Qaderi,,,,,,,,,,,,,,,,,,,,F,writers
Fatima Rahimi,,,,,,,,,,,,,,,,,,,,F,writers
Layla Sarahat Rushani,,,,,,,,,,,,,,,,,,,,F,writers
Shaista Wahab,,,,,,,,,,,,,,,,,,,,F,writers
Sakena Yacoobi,,"Herat, Kingdom of Afghanistan",,,,,,,,,,,,,,,,,,F,writers
Elham Yaghoubian,,,,,,,,,,,,,,,,,,,,F,writers
Gaisu Yari,,,,,,,,,,,,,,,,,,,,F,writers
Zakia Zaki,1972-01-01,Afghanistan,2007-06-04,"Jabal Saraj, Jabal Saraj District, Parwan, Afghanistan",Abdul Ahad Ranjabr,,,1.0,,Zaki and her husband Abdul had six children together.,,,,,,,,,,F,writers
Spôjmaï Zariâb,,,,,,,,,,,,,,,,,,,,F,writers
Maliha Zulfacar,,,,,,,,,,,,,,,,,,,,F,writers
Rreze Abdullahu,1990-04-10,"Ferizaj, Kosovo",,,,,,,,,,,,,,,,,,F,writers
Valdete Antoni,,,,,,,,,,,,,,,,,,,,F,writers
Lindita Arapi,,,,,,,,,,,,,,,,,,,,F,writers
Diana Çuli,,,,,,,,,,,,,,,,,,,,F,writers
Anilda Ibrahimi,,,,,,,,,,,,,,,,,,,,F,writers
Helena Kadare,,,,,,,,,,,,,,,,,,,,F,writers
Mirela Kumbaro,,,,,,,,,,,,,,,,,,,,F,writers
Irma Kurti,,,,,,,,,,,,,,,,,,,,F,writers
Natasha Lako,1948-05-13,,,,Mevlan Shanaj,,,1.0,,2,,,,,,,,,,F,writers
Luljeta Lleshanaku,,,,,,,,,,,,,,,,,,,,F,writers
Masiela Lusha,1985-10-23,"Tirana, Albania",,,Ramzi Habibi ​,2013-01-01,,1.0,0.0,2,0.0,,,,,,,,,F,writers
Iliriana Sulkuqi,,,,,,,,,,,,,,,,,,,,F,writers
Eni Vasili,,"Tirana, Albania",,,,,,,,,,,,,,,,,,F,writers
Ornela Vorpsi,1968-08-03,"Tirana, Albania",,,,,,,,,,,,,,,,,,F,writers
Anila Wilms,,,,,,,,,,,,,,,,,,,,F,writers
Arbana Xharra,,,,,,,,,,,,,,,,,,,,F,writers
Lea Ypi,1979-09-08,"Tirana, Albania",,,,,,,,,,,,,,,,,,F,writers
Nora Aceval,,,,,,,,,,,,,,,,,,,,F,writers
Nassira Belloula,,,,,,,,,,,,,,,,,,,,F,writers
